"request_parameters.type","request_parameters.amazon_domain","request_parameters.search_term","request_parameters.sort_by","request_parameters.page","request_parameters.custom_id","search_results.position","search_results.title","search_results.asin","search_results.link","search_results.image","search_results.rating","search_results.ratings_total","search_results.is_prime","search_results.sponsored","search_results.price.currency","search_results.price.value","search_results.page","search_results.add_on_item.is_add_on_item"
"search","amazon.com","headphones",,,,1,"TOZO HT2 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio Custom EQ via App Deep Bass Comfort Fit Ear Cups, for Home Office Travel","B07KY8G9NM","https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjg2OTU0NjA1MzEzMDk4OjE3MTI1OTc4Mzk6c3BfYXRmOjMwMDEwODIzNzYxNTcwMjo6MDo6&url=%2FTOZO-HT2-Cancelling-Headphones-Bluetooth%2Fdp%2FB07KY8G9NM%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1712597839%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA1B1TP8XQ7ZVJZ","https://m.media-amazon.com/images/I/71r8yUTZQnL._AC_UY218_.jpg",4.6,4294,true,true,,,,
"search","amazon.com","headphones",,,,2,"JBL Tune 510BT: Wireless On-Ear Headphones with Purebass Sound - White, Medium","B08WM298TV","https://www.amazon.com/JBL-Tune-510BT-Ear-Headphones/dp/B08WM298TV/ref=sr_1_3?dib=eyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw&dib_tag=se&keywords=headphones&qid=1712597839&sr=8-3","https://m.media-amazon.com/images/I/51M23ATNj4L._AC_UY218_.jpg",4.6,55934,true,,"USD",39.95,,
"search","amazon.com","headphones",,,,3,"Apple EarPods Headphones with Lightning Connector, Wired Ear Buds for iPhone with Built-in Remote to Control Music, Phone Calls, and Volume","B01M0GB8CC","https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/dp/B01M0GB8CC/ref=sr_1_4?dib=eyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw&dib_tag=se&keywords=headphones&qid=1712597839&sr=8-4","https://m.media-amazon.com/images/I/41wYbyr3LLL._AC_UY218_.jpg",4.6,282400,true,,"USD",15.99,,
"search","amazon.com","headphones",,,,4,"Sony ZX Series Wired On-Ear Headphones with Mic, Black MDR-ZX110AP","B00OUX6U6G","https://www.amazon.com/Sony-Wired-Headphones-Black-MDR-ZX110AP/dp/B00OUX6U6G/ref=sr_1_5?dib=eyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw&dib_tag=se&keywords=headphones&qid=1712597839&sr=8-5","https://m.media-amazon.com/images/I/61NZ1lR9CAL._AC_UY218_.jpg",4.5,99658,true,,"USD",18.93,,
"search","amazon.com","headphones",,,,5,"JBL Tune 510BT: Wireless On-Ear Headphones with Purebass Sound - Black","B08WM3LJQB","https://www.amazon.com/JBL-Tune-510BT-Ear-Headphones/dp/B08WM3LJQB/ref=sr_1_6?dib=eyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw&dib_tag=se&keywords=headphones&qid=1712597839&sr=8-6","https://m.media-amazon.com/images/I/61q2zYSX7DL._AC_UY218_.jpg",4.6,4954,true,,"USD",36.15,,
"search","amazon.com","headphones",,,,6,"Amazon Basics Bluetooth Wireless On Ear Headphones with Microphone, 35 Hour Playtime, Foldable, Black","B0BVM1PSYN","https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjg2OTU0NjA1MzEzMDk4OjE3MTI1OTc4Mzk6c3BfbXRmOjMwMDEyNDY4MjcyODUwMjo6MDo6&url=%2FAmazon-Basics-Bluetooth-Wireless-Headphones%2Fdp%2FB0BVM1PSYN%2Fref%3Dsr_1_7_ffob_sspa%3Fdib%3DeyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1712597839%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1","https://m.media-amazon.com/images/I/712wyKsNmML._AC_UY218_.jpg",4.3,90,true,,"USD",28.49,,
"search","amazon.com","headphones",,,,7,"Sony WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone, Blue New","B0BS1RT9S2","https://www.amazon.com/Sony-WH-CH520-Headphones-Bluetooth-Microphone/dp/B0BS1RT9S2/ref=sr_1_8?dib=eyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw&dib_tag=se&keywords=headphones&qid=1712597839&sr=8-8","https://m.media-amazon.com/images/I/41JACWT-wWL._AC_UY218_.jpg",4.5,9461,true,,"USD",59.99,,
"search","amazon.com","headphones",,,,8,"AILIHEN C8 Headphones Wired, On-Ear Headphones with Microphone and Volume Control Foldable Corded Stereo 3.5mm Headset for Smartphones Chromebook Laptop Computer PC Tablets Travel(Black/Blue)","B01EF5DBZ6","https://www.amazon.com/AILIHEN-C8-Headphones-Lightweight-Smartphones/dp/B01EF5DBZ6/ref=sr_1_9?dib=eyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw&dib_tag=se&keywords=headphones&qid=1712597839&sr=8-9","https://m.media-amazon.com/images/I/81yiZag3xhL._AC_UY218_.jpg",4.3,31452,true,,,,,
"search","amazon.com","headphones",,,,9,"Wireless Earbud, Bluetooth Headphones 5.3 NEW 40H Ear Buds Bass Stereo Earphones Noise Cancelling Earbud with 4 ENC Mic in-Ear Bluetooth Earbud USB-C LED Display IP7 Waterproof Sport for Android iOS","B0CF8GL47W","https://www.amazon.com/Bluetooth-Headphones-Earphones-Cancelling-Waterproof/dp/B0CF8GL47W/ref=sr_1_10?dib=eyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw&dib_tag=se&keywords=headphones&qid=1712597839&sr=8-10","https://m.media-amazon.com/images/I/71ueh0pKxDL._AC_UY218_.jpg",4.5,6257,true,,,,,
"search","amazon.com","headphones",,,,10,"Beats Studio Pro - Wireless Bluetooth Noise Cancelling Headphones - Personalized Spatial Audio, USB-C Lossless Audio, Apple & Android Compatibility, Up to 40 Hours Battery Life - Black","B0C8PR4W22","https://www.amazon.com/Beats-Studio-Pro-Personalized-Compatibility/dp/B0C8PR4W22/ref=sr_1_11?dib=eyJ2IjoiMSJ9.l86Kj9O_ugw_ozYx2HhU_IpbsN55T9bcugYpP7Hw5mle3wghLKZ10O3a3zZNwCUbJeve9HW9PSihnbdVQ7gJsti0DQsiCvAV51R3e9jMEWjjLgDYshb7xo1C5mCJJbnt6hX0cNz3geXXAnY6y49zpu_Pzs6J6SqrwWMhBfh9br738EYhpikZvahKuOufqarmWC743IOZ6dJTTM-UfbmXhuIz1exePRHRzDj_vp5dl4s.IHjqiNUEZ184w3RSk0I4Esz8TNHWuGjtB9wjqD0DLMw&dib_tag=se&keywords=headphones&qid=1712597839&sr=8-11","https://m.media-amazon.com/images/I/61u-OaDSfQL._AC_UY218_.jpg",4.5,6374,true,,"USD",199.95,,
